Bahan Makan,VIt. A,Vit. B,Vit. C,Vit. D,Vit. E,Vit. K,Protein (g),Mineral (%),Energi (Kal),Lemak  (g),Kalsium (mg),Zat Besi (gr),Serat (g)
Nasi,0,2.75,0,0,0.04,0,3,56.7,180,0.3,25,0.4,0.2
Nasi Tim,0,1.5,0,0,0.04,0,2.4,70,120,0.4,10,0.4,0.5
Bubur,0,0.696,0,0,0.02,0.0001,11,88.7,50,1,87,3.74,9
Jagung,0.0009,2.79,6.8,0,0.07,0.0003,3.8,63.7,154,3.5,7,0.5,0.7
Kentang,0.024,1.633,11.4,0,0,0.002,2.1,83.4,62,0.2,63,3.2,0.5
Singkong,0.013,1.184,20.6,0,0.19,0.0019,1.2,61.5,153,0.4,56,0.3,1.3
Ubi,0.0709,1.705,2.4,0,0.26,0.0018,1.9,52.7,186,0.2,37,0.6,3.4
Mie,0.0006,2.81,0,0.0003,0.37,0.0005,4.5,67.73,138,2.1,12,1.5,1.2
Roti,0,1.755,0,0,0.19,0.0049,8,40,248,1.2,10,4.9,9.1
Sagu,0,0,0,0,0.26,0,0.42,12,354,0.05,16,1.5,0.2
Tempe,0.0027,3.354,0,0,0.42,0.0035,20,59.65,192,11,155,2.7,0
Tahu,0.0006,0.19,0,0,0.01,0.0024,10.9,82.2,80,4.7,223,3.4,0.1
Susu Kedelai,0.0027,0.83,2,0.0011,0.11,0.003,3.5,87,41,2.5,50,0.7,0.2
Daging ayam,0.025,10.62,0,0.05,0.27,0.0008,18.2,55.9,298,25,14,1.5,0
Udang,0.0063,4.11,0,0.125,2,0.0003,21,75,91,0.2,136,8,0
Ikan Mas,0.00765,2.75,0,1.5,0.5,0.0001,16,80,86,2,20,2,0
Sosis (sapi) ,0,5.18,0,0.014,0.33,0.0028,14.5,37.6,448,42.3,28,1.1,0
Ikan Mujair,0.018,0.15,0,3.75,0.4,0.0014,18.7,79.7,89,1,96,1.5,0
Telur,0.028,2.28,0,2.175,0,0.0004,13,76.15,143,9.5,56,1.8,0
Hati ayam,3.3234,9.13,0,0,0.7,0,27.4,53.4,261,16.1,118,15.8,0
Belut,1.129,8.04,0,23.3,4,0,14.6,81.5,70,0.8,49,1.5,0
Ikan Teri,0.013,2.14,0,1.725,0.6,0.0001,10.3,80,74,1.4,972,3.9,0
Daging Bebek,0.024,4.68,0,0.75,0.7,0.0028,16,54.3,321,28.6,15,1.8,0
