Bulan,VIt. A,Vit. B,Vit. C,Vit. D,Vit. E,Vit. K,Protein (g),Mineral (%),Energi (Kal),Lemak  (g),Kalsium (mg),Zat Besi (gr),Serat (g),Karbohidrad (gr),Fosfor (mg),Magnesium (mg),Natrium (mg),Kalium (mg)
0,375,0.4,40,5,4,5,12,84,550,34,200,0.2,0,58,100,30,120,500
1,375,0.4,40,5,4,5,12,84,550,34,200,0.2,0,58,100,30,120,500
2,375,0.4,40,5,4,5,12,84,550,34,200,0.2,0,58,100,30,120,500
3,375,0.4,40,5,4,5,12,84,550,34,200,0.2,0,58,100,30,120,500
4,375,0.4,40,5,4,5,12,84,550,34,200,0.2,0,58,100,30,120,500
5,375,0.4,40,5,4,5,12,84,550,34,200,0.2,0,58,100,30,120,500
6,400,0.4,40,5,4,10,14,84,700,40,260,0.2,0,95,275,75,370,700
7,400,0.5,50,5,4,10,14,75,700,40,260,11,0,95,275,75,370,700
8,400,0.5,50,5,4,10,14,75,700,40,260,11,0,95,275,75,370,700
9,400,0.5,50,5,4,10,14,75,700,40,260,11,0,95,275,75,370,700
10,400,0.5,50,5,4,10,14,75,700,40,260,11,0,95,275,75,370,700
11,400,0.5,50,5,4,10,14,75,700,40,260,11,0,95,275,75,370,700
12,300,0.5,50,5,5,15,16,75,1000,40,500,11,0,130,350,1000,1000,2000
13,300,0.9,15,5,5,15,16,75,1000,40,500,7,19,130,350,1000,1000,2000
14,300,0.9,15,5,5,15,16,75,1000,40,500,7,19,130,350,1000,1000,2000
15,300,0.9,15,5,5,15,16,75,1000,40,500,7,19,130,350,1000,1000,2000
16,300,0.9,15,5,5,15,16,75,1000,40,500,7,19,130,350,1000,1000,2000
17,300,0.9,15,5,5,15,16,75,1000,40,500,7,19,130,350,1000,1000,2000
18,300,0.9,15,5,5,15,16,75,1000,40,500,7,19,130,350,1000,1000,2000
19,300,0.9,15,5,5,15,16,75,1000,40,500,7,19,130,350,1000,1000,2000
20,300,0.9,15,5,5,15,16,75,1000,40,500,7,19,130,350,1000,1000,2000
21,300,0.9,15,5,5,15,16,75,1000,40,500,7,19,130,350,1000,1000,2000
22,300,0.9,15,5,5,15,16,75,1000,40,500,7,19,130,350,1000,1000,2000
23,300,0.9,15,5,5,15,16,75,1000,40,500,7,19,130,350,1000,1000,2000
24,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
25,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
26,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
27,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
28,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
29,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
30,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
31,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
32,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
33,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
34,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
35,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
36,300,0.9,15,5,6,20,20,75,1200,40,600,7,19,150,500,1000,1000,2000
