Bulan,Vit. A,Vit. D,Vit. E,Vit. K,Karbo,Fosfor,Magnesium,Natrium,Kalium,Energi,Protein,Lemak ,Kalsium
0,375,5,4,5,58,100,30,120,500,550,12,34,200
1,375,5,4,5,58,100,30,120,500,550,12,34,200
2,375,5,4,5,58,100,30,120,500,550,12,34,200
3,375,5,4,5,58,100,30,120,500,550,12,34,200
4,375,5,4,5,58,100,30,120,500,550,12,34,200
5,375,5,4,5,58,100,30,120,500,550,12,34,200
6,400,5,4,10,95,275,75,370,700,700,14,40,260
7,400,5,4,10,95,275,75,370,700,700,14,40,260
8,400,5,4,10,95,275,75,370,700,700,14,40,260
9,400,5,4,10,95,275,75,370,700,700,14,40,260
10,400,5,4,10,95,275,75,370,700,700,14,40,260
11,400,5,4,10,95,275,75,370,700,700,14,40,260
12,300,5,5,15,130,350,1000,1000,2000,1000,16,40,500
13,300,5,5,15,130,350,1000,1000,2000,1000,16,40,500
14,300,5,5,15,130,350,1000,1000,2000,1000,16,40,500
15,300,5,5,15,130,350,1000,1000,2000,1000,16,40,500
16,300,5,5,15,130,350,1000,1000,2000,1000,16,40,500
17,300,5,5,15,130,350,1000,1000,2000,1000,16,40,500
18,300,5,5,15,130,350,1000,1000,2000,1000,16,40,500
19,300,5,5,15,130,350,1000,1000,2000,1000,16,40,500
20,300,5,5,15,130,350,1000,1000,2000,1000,16,40,500
21,300,5,5,15,130,350,1000,1000,2000,1000,16,40,500
22,300,5,5,15,130,350,1000,1000,2000,1000,16,40,500
23,300,5,5,15,130,350,1000,1000,2000,1000,16,40,500
24,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
25,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
26,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
27,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
28,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
29,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
30,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
31,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
32,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
33,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
34,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
35,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
36,300,5,6,20,150,500,1000,1000,2000,1200,20,40,600
