Umur,Jumlah Masukan,Bahan Makanan,Vit. A,Vit. B,Vit. C,Vit. D,Vit. E,Vit. K,Protein (g),Mineral (%),Energi (Kal),Lemak  (g),Kalsium (mg),Zat Besi (gr),Serat (g),Karbohidrad (gr),Fosfor (mg),Magnesium (mg),Natrium (mg),Kalium (mg)
35,10,"5, 46, 11, 61, 57, 5, 10, 19, 14, 58",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,o
30,4,"18, 26, 21, 53",o,o,o,o,x,x,o,o,x,x,x,x,x,x,x,x,x,x
3,7,"53, 24, 35, 22, 2, 19, 19",o,o,o,o,x,x,o,o,o,x,o,o,o,x,o,o,o,o
23,2,"35, 31",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
25,10,"4, 63, 2, 54, 24, 54, 3, 54, 8, 24",o,o,o,x,o,x,o,o,x,x,o,o,o,x,x,x,x,o
17,4,"1, 17, 28, 19",x,o,o,x,x,x,o,o,x,o,x,x,x,x,o,x,x,x
22,3,"37, 44, 48",x,o,o,x,o,x,o,o,x,o,x,o,x,x,o,x,x,x
11,4,"28, 43, 7, 59",o,o,o,x,x,x,x,o,x,x,o,x,o,x,x,o,x,x
33,3,"47, 21, 7",o,o,x,o,o,x,o,o,x,x,x,x,x,x,x,x,x,x
5,1,61,o,o,o,x,o,x,x,x,x,x,o,o,o,x,x,o,x,o
16,9,"23, 33, 57, 14, 31, 57, 30, 36, 14",o,o,o,x,x,x,o,o,o,o,x,o,x,x,o,x,x,x
27,3,"5, 36, 10",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
1,8,"46, 3, 2, 53, 32, 24, 53, 19",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
36,5,"27, 9, 28, 24, 24",o,o,o,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
35,10,"57, 45, 53, 11, 27, 44, 23, 28, 14, 1",o,o,o,x,x,x,o,o,o,o,o,o,o,x,o,x,x,o
27,2,"58, 1",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
8,9,"35, 22, 9, 27, 10, 28, 36, 8, 31",x,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
31,3,"54, 17, 30",x,o,o,x,x,x,x,o,x,o,x,x,x,x,x,x,x,x
1,6,"43, 38, 19, 33, 53, 33",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
5,5,"7, 49, 21, 48, 10",o,o,x,o,o,x,o,o,o,o,o,o,o,x,o,o,x,o
22,5,"1, 28, 58, 48, 17",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,x
33,8,"37, 32, 58, 34, 21, 26, 58, 5",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,o
3,4,"58, 4, 28, 17",o,o,o,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
36,6,"5, 13, 40, 8, 51, 48",x,o,o,x,o,x,o,o,x,o,x,o,x,x,o,x,x,x
11,9,"53, 62, 14, 26, 24, 40, 4, 59, 42",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,x,o
21,4,"19, 14, 53, 24",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
30,6,"22, 41, 3, 10, 27, 22",x,o,x,x,x,x,o,o,x,x,o,o,o,x,o,x,o,x
5,6,"57, 8, 24, 56, 32, 30",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,x,o
27,4,"37, 12, 12, 45",o,o,o,x,x,x,o,o,x,x,o,o,x,x,x,x,x,x
1,7,"54, 29, 9, 24, 36, 50, 25",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
16,5,"62, 10, 31, 36, 52",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
16,6,"7, 34, 46, 18, 6, 44",o,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
3,6,"39, 63, 42, 28, 51, 40",x,o,o,x,x,x,x,o,x,x,x,o,o,x,o,o,o,o
32,8,"62, 48, 55, 15, 41, 19, 27, 28",x,o,o,x,o,x,o,o,x,o,o,o,o,x,o,x,x,x
15,10,"58, 46, 29, 37, 48, 11, 34, 2, 43, 27",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,x,o
17,7,"18, 56, 56, 25, 22, 15, 4",x,o,o,o,x,x,o,o,x,x,o,o,x,x,o,x,x,x
11,3,"60, 35, 17",x,o,o,x,o,x,o,x,o,o,o,x,o,x,o,o,o,o
1,3,"48, 13, 28",x,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
10,2,"13, 23",x,o,x,x,x,x,o,o,x,x,x,x,o,x,x,x,x,x
35,8,"42, 44, 20, 60, 36, 19, 50, 6",o,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,o,x
25,5,"53, 1, 24, 3, 55",o,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
26,5,"13, 55, 13, 5, 22",x,o,o,x,x,x,o,o,x,x,o,o,x,x,x,x,x,x
7,2,"4, 7",x,o,x,x,x,x,x,o,x,x,x,x,o,x,x,o,x,x
3,10,"3, 47, 23, 28, 49, 21, 38, 38, 2, 55",o,o,o,o,o,x,o,o,o,x,o,o,o,x,o,o,o,o
4,6,"36, 63, 21, 42, 58, 40",o,o,o,o,o,x,o,o,x,x,o,o,o,x,o,o,o,o
4,8,"17, 45, 62, 13, 36, 31, 42, 7",o,o,o,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
3,3,"57, 42, 59",o,o,o,x,x,x,x,o,x,x,o,o,o,x,o,o,x,x
21,10,"34, 47, 6, 28, 14, 11, 3, 10, 16, 42",x,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,o
10,7,"14, 32, 49, 10, 1, 20, 52",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
2,9,"51, 48, 34, 37, 43, 20, 16, 36, 4",o,o,o,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
16,9,"22, 29, 63, 21, 41, 54, 16, 11, 24",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,o
14,7,"36, 40, 27, 30, 11, 19, 13",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,o
26,3,"62, 5, 10",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
16,9,"61, 35, 50, 51, 21, 27, 13, 35, 32",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,o
3,1,37,x,o,o,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
0,10,"9, 18, 28, 26, 34, 27, 38, 14, 45, 39",o,o,o,x,x,x,o,o,o,x,o,o,o,o,o,o,o,o
16,9,"9, 25, 4, 37, 28, 4, 45, 5, 42",o,o,o,x,x,x,o,o,x,x,x,o,o,x,o,x,x,x
4,4,"29, 36, 13, 21",o,o,x,o,o,x,o,o,x,x,x,o,o,x,o,o,o,o
5,4,"36, 56, 30, 14",x,o,o,x,x,x,o,o,x,x,x,o,o,x,o,o,o,o
3,9,"56, 44, 34, 47, 47, 19, 9, 9, 54",x,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
29,9,"11, 58, 41, 52, 52, 13, 34, 43, 32",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,o
34,8,"6, 31, 22, 55, 50, 42, 48, 44",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
36,8,"19, 15, 34, 8, 17, 52, 37, 39",x,o,o,x,x,x,o,o,x,o,x,o,x,x,o,x,o,x
11,1,44,x,o,x,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
34,4,"62, 4, 28, 39",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
24,6,"15, 59, 44, 53, 43, 57",o,o,o,x,x,x,o,o,x,x,o,o,x,x,x,x,x,x
6,10,"34, 28, 19, 63, 24, 20, 52, 3, 4, 8",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
3,5,"4, 39, 41, 49, 28",x,o,o,x,x,x,x,o,x,x,x,o,o,x,o,o,x,o
29,6,"46, 18, 32, 58, 55, 14",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
36,9,"55, 63, 21, 23, 6, 51, 20, 41, 34",o,o,o,o,o,x,o,o,x,o,x,o,x,x,o,x,o,x
18,8,"33, 25, 55, 27, 41, 62, 6, 39",x,o,o,x,x,x,x,o,x,x,x,x,o,x,o,x,x,x
10,6,"9, 40, 62, 43, 7, 59",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
7,8,"40, 5, 4, 13, 60, 56, 48, 11",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,x,o
14,1,4,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
33,5,"31, 36, 7, 4, 8",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
21,10,"5, 47, 13, 5, 60, 3, 38, 34, 58, 42",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
5,9,"41, 55, 24, 43, 23, 36, 7, 44, 54",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
7,6,"11, 45, 30, 37, 61, 51",o,o,o,x,o,x,o,o,x,x,o,x,o,x,o,o,x,o
13,9,"57, 59, 23, 38, 59, 5, 28, 54, 4",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
8,4,"46, 25, 20, 28",o,o,o,x,x,x,o,o,x,x,x,o,o,x,o,x,o,x
36,2,"22, 14",x,o,x,x,x,x,o,o,x,x,o,x,x,x,x,x,x,x
34,9,"41, 11, 7, 4, 47, 46, 42, 39, 61",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
10,5,"6, 27, 2, 52, 46",x,o,o,x,x,x,x,o,x,x,o,x,o,x,o,o,x,o
4,1,15,x,o,x,x,x,x,o,x,x,x,x,o,o,x,o,o,o,x
8,6,"27, 56, 29, 57, 34, 5",x,o,o,x,x,x,o,o,x,x,o,x,o,x,o,o,x,o
16,3,"28, 9, 22",x,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,o,x
13,9,"63, 42, 44, 22, 28, 10, 26, 35, 48",x,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,x
3,5,"26, 2, 2, 54, 42",x,o,o,x,x,x,x,o,x,x,o,o,o,x,x,o,x,o
31,5,"7, 50, 22, 52, 26",o,o,o,x,x,x,x,o,x,x,o,x,x,x,x,x,x,x
0,7,"34, 40, 40, 34, 13, 62, 3",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
21,6,"37, 19, 1, 26, 49, 12",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
23,4,"9, 51, 2, 32",x,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
8,4,"25, 36, 5, 16",x,o,x,x,x,x,o,o,x,x,x,x,o,x,x,x,x,o
27,6,"9, 9, 63, 26, 25, 42",x,o,o,x,x,x,o,o,x,x,x,o,o,x,x,x,o,x
18,4,"49, 18, 25, 46",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
3,3,"52, 53, 36",x,o,o,x,x,x,x,o,x,x,o,o,o,x,o,o,x,o
18,4,"62, 41, 44, 27",x,o,o,x,x,x,x,o,x,x,x,x,x,x,o,x,x,x
16,8,"7, 27, 54, 54, 40, 3, 51, 14",x,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
30,4,"44, 27, 10, 32",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
17,10,"16, 5, 41, 55, 53, 17, 39, 56, 56, 48",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,x,o
4,9,"51, 48, 16, 49, 8, 4, 41, 52, 12",x,o,o,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
21,4,"60, 42, 30, 52",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
34,6,"50, 56, 6, 54, 15, 26",o,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
19,4,"58, 48, 49, 35",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
21,4,"46, 5, 13, 55",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
0,6,"33, 43, 53, 50, 58, 28",o,o,o,x,x,x,x,o,x,x,o,o,o,x,o,o,o,o
32,10,"18, 59, 25, 44, 25, 61, 19, 18, 25, 14",o,o,o,o,o,x,o,o,x,o,o,o,x,x,o,x,x,o
28,1,9,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
21,9,"54, 31, 39, 50, 46, 40, 41, 30, 63",o,o,o,x,o,x,x,o,x,x,x,o,o,x,o,x,x,o
19,4,"58, 36, 29, 46",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
2,1,26,x,x,x,x,x,x,x,x,x,x,x,o,o,x,x,x,x,x
22,2,"20, 43",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,o,x
19,3,"20, 38, 18",o,o,x,x,x,x,o,o,x,x,x,o,x,x,o,x,o,x
10,4,"37, 44, 52, 16",x,o,o,x,x,x,o,o,x,x,x,x,o,x,o,x,x,o
9,3,"9, 10, 18",x,o,x,x,x,x,o,o,x,x,x,x,o,x,o,o,o,x
29,5,"4, 23, 12, 23, 21",o,o,x,o,x,x,o,o,x,o,x,o,x,x,o,x,x,x
24,3,"26, 39, 9",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
20,6,"33, 52, 15, 9, 43, 60",x,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,x
22,2,"34, 19",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
24,3,"21, 24, 46",o,o,o,o,x,x,x,o,x,x,x,x,x,x,x,x,x,x
10,8,"29, 41, 24, 1, 4, 2, 51, 54",o,o,o,x,x,x,o,o,x,x,o,x,o,x,o,o,x,o
8,9,"61, 42, 44, 59, 43, 53, 50, 55, 36",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,x,o
11,5,"62, 53, 5, 10, 63",x,o,o,x,x,x,x,o,x,x,x,x,o,x,o,o,x,o
16,5,"57, 26, 17, 2, 17",o,o,o,x,x,x,o,o,o,o,x,x,x,x,x,x,o,x
13,3,"12, 17, 58",o,o,o,x,x,x,o,o,x,o,x,o,x,x,x,x,x,x
28,7,"18, 40, 42, 38, 8, 49, 42",x,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
20,10,"42, 32, 43, 46, 30, 28, 6, 63, 7, 19",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
0,2,"37, 24",o,o,o,x,x,x,x,o,x,x,x,o,o,x,x,o,x,x
20,3,"11, 32, 31",x,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
28,5,"13, 42, 46, 56, 30",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
19,3,"10, 56, 49",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
6,5,"42, 57, 28, 62, 9",x,o,o,x,x,x,o,o,x,x,x,o,o,x,o,o,o,x
30,1,27,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
11,3,"46, 52, 61",o,o,o,x,o,x,x,o,x,x,o,x,o,x,x,o,x,o
25,1,44,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
36,5,"11, 57, 23, 35, 53",x,o,o,x,x,x,o,o,x,o,x,o,x,x,o,x,x,x
22,7,"14, 57, 51, 50, 16, 5, 10",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
35,6,"59, 16, 32, 53, 29, 25",o,o,o,x,x,x,o,o,x,x,o,o,x,x,x,x,x,x
10,1,49,x,o,x,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
33,5,"20, 41, 1, 26, 42",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,o,x
32,8,"45, 62, 3, 2, 22, 32, 1, 60",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,o,o
32,2,"39, 6",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
21,2,"34, 12",x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
35,7,"17, 41, 22, 28, 32, 7, 56",x,o,o,x,x,x,o,o,x,o,o,o,x,x,o,x,o,x
26,10,"7, 24, 46, 1, 10, 14, 13, 14, 5, 30",o,o,o,x,x,x,o,o,o,o,x,o,x,x,o,x,x,o
31,9,"26, 18, 58, 39, 39, 42, 29, 60, 28",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
15,8,"53, 5, 35, 56, 1, 1, 9, 62",x,o,o,x,x,x,o,o,x,x,x,o,o,x,o,x,x,x
13,4,"57, 46, 41, 45",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
18,1,24,o,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
13,5,"51, 5, 25, 40, 6",x,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
26,6,"13, 35, 34, 1, 10, 47",x,o,o,x,o,x,x,o,x,x,x,o,x,x,x,x,x,x
21,4,"35, 42, 39, 34",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
26,1,46,x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
6,8,"60, 50, 25, 16, 10, 63, 35, 50",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,x,o
36,8,"61, 7, 24, 63, 1, 56, 12, 56",o,o,o,x,o,x,o,o,x,x,o,o,o,x,x,x,x,x
2,8,"4, 13, 6, 14, 46, 51, 7, 46",x,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
24,4,"39, 11, 57, 13",x,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
28,5,"33, 38, 45, 2, 40",o,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
14,4,"16, 57, 31, 60",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
26,6,"15, 22, 59, 7, 46, 45",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
36,7,"34, 16, 58, 14, 20, 45, 24",o,o,o,x,x,x,o,o,x,o,x,o,x,x,o,x,o,x
5,7,"9, 34, 52, 3, 62, 62, 25",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
11,10,"7, 34, 58, 30, 58, 32, 13, 14, 25, 22",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
27,9,"27, 63, 14, 31, 45, 15, 42, 37, 29",o,o,o,x,o,x,o,o,x,x,x,o,o,x,o,x,x,o
23,9,"11, 40, 55, 35, 46, 34, 24, 63, 8",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,o
36,3,"58, 54, 39",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
18,5,"14, 57, 31, 39, 45",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
32,7,"52, 34, 26, 54, 38, 5, 48",x,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
23,7,"24, 7, 58, 31, 35, 44, 3",o,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
26,8,"4, 49, 49, 5, 21, 40, 21, 2",o,o,o,o,o,x,o,o,x,x,x,o,x,x,o,x,x,x
14,8,"58, 18, 15, 55, 45, 21, 3, 4",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,o
