Bulan,Jenis kelamin,batas atas berat ideal,berat ideal,batas bawah berat ideal,batas atas panjang ideal,panjang ideal,batas bawah panjang ideal,batas atas lingkar kepala ideal,lingkar kepala ideal,batas bawah lingkar kepala ideal
0,Laki-laki,4.4,3.3,2.4,53.7,49.9,46.1,36.551,34.462,32.372
0,Perempuan,4.2,3.2,2.4,52.9,49.1,45.4,35.827,33.879,31.931
1,Laki-laki,6,4.4,3.4,58.6,54.7,50.8,36.640,34.562,32.484
1,Perempuan,5.4,4.2,3.2,57.6,53.7,49.8,35.919,33.975,32.031
2,Laki-laki,7.1,5.6,4.3,62.4,58.4,54.4,36.729,34.662,32.595
2,Perempuan,6.6,5.1,4,61.1,57.1,53,36.011,34.071,32.132
3,Laki-laki,8,6.4,5,65.5,61.4,57.3,36.818,34.763,32.707
3,Perempuan,7.5,5.8,4.5,64,59.8,55.6,36.103,34.168,32.232
4,Laki-laki,8.7,7,5.6,68,63.9,59.7,36.906,34.863,32.819
4,Perempuan,8.7,6.4,5,66.4,62.1,57.8,36.195,34.264,32.333
5,Laki-laki,9.3,7.4,6,70,65.9,61.7,36.995,34.963,32.931
5,Perempuan,8.8,6.9,5.4,68.5,64,59.6,36.287,34.360,32.434
6,Laki-laki,9.7,7.9,6.4,71.9,67.6,63.3,37.083,35.063,33.043
6,Perempuan,9.4,7.3,5.8,70.3,65.7,61.2,36.378,34.457,32.535
7,Laki-laki,10.3,8.3,6.6,73.5,69.2,64.8,37.172,35.163,33.155
7,Perempuan,9.8,7.6,6,71.9,67.3,62.7,36.470,34.553,32.635
8,Laki-laki,10.7,8.6,6.9,75,70.6,66.2,37.259,35.264,33.268
8,Perempuan,10.2,8,6.2,73.5,68.7,64,36.562,34.649,32.737
9,Laki-laki,11,8.9,7.1,76.5,72,67.5,37.348,35.364,33.380
9,Perempuan,10.6,8.2,6.5,75,70.1,65.3,36.654,34.746,32.837
10,Laki-laki,11.4,9.2,7.4,77.9,73.3,68.7,37.436,35.464,33.492
10,Perempuan,10.8,8.5,6.7,76.4,71.5,66.5,36.745,34.842,32.939
11,Laki-laki,11.7,9.4,7.6,79.2,74.5,69.9,37.524,35.564,33.605
11,Perempuan,11.2,8.7,6.9,77.8,72.8,67.7,36.837,34.938,33.039
12,Laki-laki,12,9.6,7.8,80.5,75.7,71,37.612,35.665,33.717
12,Perempuan,11.5,9,7,79.2,74,68.9,36.928,35.035,33.141
13,Laki-laki,12.3,9.9,7.9,81.8,76.9,72.2,37.699,35.765,33.830
13,Perempuan,11.8,9.2,7.2,80.5,75.2,70,37.020,35.131,33.242
14,Laki-laki,12.6,10.1,8.1,83,78,73.1,37.787,35.865,33.943
14,Perempuan,12.1,9.4,7.4,81.7,76.4,71,37.111,35.227,33.343
15,Laki-laki,12.8,10.3,8.3,84.2,79.1,74.1,37.887,35.965,34.044
15,Perempuan,12.4,9.6,7.6,83,77.5,72,37.208,35.321,33.434
16,Laki-laki,13.1,10.5,8.4,85.4,80.2,75,37.985,36.063,34.142
16,Perempuan,12.6,9.8,7.8,84.2,78.6,73,37.303,35.413,33.523
17,Laki-laki,13.4,10.7,8.6,86.5,81.2,76,38.080,36.159,34.238
17,Perempuan,13,10,7.9,85.4,79.7,74,37.396,35.503,33.610
18,Laki-laki,13.6,10.9,8.8,87.7,82.3,76.9,38.173,36.253,34.332
18,Perempuan,13.2,10.2,8,86.5,80.7,74.9,37.487,35.591,33.694
19,Laki-laki,14,11.1,8.9,88.8,83.2,77.7,38.265,36.344,34.423
19,Perempuan,13.5,10.4,8.2,87.6,81.7,75.8,37.576,35.677,33.778
20,Laki-laki,14.2,11.3,9,89.8,84.2,78.6,38.355,36.434,34.513
20,Perempuan,13.7,10.6,8.4,88.7,82.7,76.7,37.662,35.761,33.859
21,Laki-laki,14.5,11.5,9.2,90.9,85.1,79.4,38.442,36.522,34.601
21,Perempuan,14,10.8,8.5,89.8,83.7,77.5,37.748,35.843,33.938
22,Laki-laki,14.7,11.7,9.4,91.9,86,80.2,38.528,36.608,34.688
22,Perempuan,14.3,11.1,8.7,90.8,84.6,78.4,37.831,35.924,34.016
23,Laki-laki,15,11.9,9.5,92.9,86.9,81,38.613,36.692,34.772
23,Perempuan,14.6,11.3,8.9,91.9,85.5,79.2,37.913,36.003,34.092
24,Laki-laki,15.3,12.1,9.7,93.9,87.8,81.4,38.696,36.775,34.855
24,Perempuan,14.8,11.5,9,92.9,86.4,79.5,37.993,36.080,34.168
25,Laki-laki,15.6,12.4,9.8,94.2,88,81.7,38.777,36.857,34.936
25,Perempuan,15.1,11.7,9.2,93.3,86.8,80,38.072,36.156,34.241
26,Laki-laki,15.8,12.6,10,95.2,88.8,82.5,38.857,36.937,35.016
26,Perempuan,15.4,11.9,9.4,94.1,87.4,80.8,38.149,36.231,34.313
27,Laki-laki,16.1,12.8,10.1,96.1,89.6,83.1,38.935,37.015,35.095
27,Perempuan,15.7,12.1,9.5,95,88.3,81.5,38.225,36.304,34.383
28,Laki-laki,16.4,12.9,10.2,97,90.4,83.8,39.013,37.093,35.172
28,Perempuan,16,12.3,9.6,96,89.1,82.2,38.300,36.376,34.452
29,Laki-laki,16.6,13.1,10.4,97.9,91.2,84.5,39.089,37.169,35.248
29,Perempuan,16.2,12.5,20,96.9,89.9,82.9,38.373,36.447,34.521
30,Laki-laki,16.8,13.3,10.5,98.7,91.9,85.1,39.164,37.244,35.323
30,Perempuan,16.5,12.7,10,97.7,90.7,83.6,38.445,36.516,34.588
31,Laki-laki,17.1,13.5,10.6,99.6,92.7,85.7,39.238,37.317,35.397
31,Perempuan,16.8,12.9,10.1,98.6,91.4,84.3,38.516,36.585,34.654
32,Laki-laki,17.4,13.6,10.8,100.4,93.4,86.4,39.310,37.390,35.469
32,Perempuan,17,13.1,10.2,99.4,92.2,84.9,38.585,36.652,34.718
33,Laki-laki,17.6,13.8,10.9,101.2,94.1,86.9,39.382,37.461,35.540
33,Perempuan,17.3,13.3,10.4,100.3,92.9,85.6,38.654,36.718,34.782
34,Laki-laki,17.8,14,11,102,94.8,87.5,39.453,37.532,35.610
34,Perempuan,17.6,13.5,10.5,101.1,93.6,86.2,38.722,36.783,34.845
35,Laki-laki,18.1,14.2,11.2,102.7,95.4,88.1,39.523,37.601,35.679
35,Perempuan,17.9,13.7,10.7,101.9,94.4,86.8,38.788,36.847,34.907
36,Laki-laki,18.3,14.4,11.3,103.5,96.1,88.7,39.591,37.669,35.748
36,Perempuan,18.1,13.9,10.8,102.7,95.1,87.4,38.853,36.910,34.968
